"","gene_name","mass_Da"
"114","speD",30366.27182
"115","speE",32321.02052
"116","yacC",12853.59362
"117","cueO",56555.55414
"118","gcd",86746.3164
"119","hpt",20115.01606
"120","can",25096.48254
"121","yadG",34646.65486
"122","yadH",28515.80804
"123","yadI",16539.90108
"124","yadE",46314.52388
"125","panD",13833.57858
"126","yadD",34606.40138
"127","panC",31565.24614
"128","panB",28237.1212
"129","yadC",44898.67602
"130","yadK",21111.78282
"131","yadL",21046.70816
"132","yadM",20306.77372
"133","htrE",95466.2367
"134","yadV",27053.53294
"135","yadN",20117.38764
"136","folK",18078.56888
"137","pcnB",53852.23912
"138","gluQ",34867.14054
"139","dksA",17527.56574
"140","sfsA",26228.48932
"141","ligT",19933.6807
"142","hrpB",89114.68914
"143","mrcB",94291.44414
"144","fhuA",82181.2599
"145","fhuC",28886.09882
"146","fhuD",32997.95954
"147","fhuB",70390.15102
"148","hemL",45365.63654
"149","clcA",50348.1324
"150","erpA",12100.35604
"151","yadS",22127.42464
"152","btuF",29366.46288
"153","mtn",24353.68902
"154","dgt",59382.22482
"155","degP",49353.67188
"156","cdaR",43686.84126
"157","yaeH",15095.97874
"158","yaeI",29863.05424
"159","dapD",29891.73882
"160","glnD",102388.90806
"161","map",29330.49086
"162","rpsB",26743.3301
"163","tsf",30422.63592
"164","pyrH",25969.98414
"165","frr",20606.27092
"166","dxr",43387.54328
"167","ispU",28411.73676
"168","cdsA",31435.34786
"169","rseP",49070.69282
"170","bamA",90551.63982
"171","skp",17655.97024
"172","lpxD",36038.11246
"173","fabZ",17014.7209
"174","lpxA",28047.60418
"175","lpxB",42381.97748
"176","rnhB",21525.74794
"177","dnaE",129903.0733
"178","accA",35241.1363
"179","ldcC",80589.38642
"180","yaeR",14736.51368
"181","tilS",48203.59008
"182","rof",9479.54036
"183","yaeP",7182.08204
"184","yaeQ",20876.42888
"185","arfB",15622.88328
"186","nlpE",25844.02546
"187","yaeF",29911.99624
"188","proS",63691.84164
"189","tsaA",26362.00856
"190","rcsF",14163.34022
"191","metQ",29431.26198
"192","metI",23255.80158
"193","metN",37787.93364
"194","gmhB",21261.9454
"195","dkgB",29436.42578
"196","yafC",33775.42672
"197","yafD",29959.24944
"198","yafE",22990.81842
"199","mltD",49416.90888
"200","gloB",28434.03872
"201","yafS",27243.85746
"202","rnhA",17596.7894
"203","dnaQ",27098.6301
"204","yafT",29605.34868
"205","ykfM",18117.65128
"206","yafV",28892.48616
"207","ivy",16872.1218
"208","fadE",89223.3866
"209","gmhA",20814.5138
"210","yafJ",28635.2862
"211","yafK",28020.8895
"212","yafQ",10846.48622
"213","dinJ",9405.6838
"214","yafL",28784.44276
"215","rayT",20041.591
"216","dinB",39515.47068
"217","yafN",11233.63468
"218","yafO",15487.65454
"219","yafP",17554.93454
"220","pepD",52882.71654
"221","gpt",16970.3886
"222","frsA",47008.23906
"223","phoE",38921.52522
"224","proB",39056.05818
"225","proA",44629.55348
"226","ykfI",12904.85416
"227","yafW",11939.46658
"228","ykfH",8580.82972
"229","ykfG",18098.5503
"230","yafX",17419.3554
"231","ykfF",9013.93554
"232","ykfB",17025.5344
"233","yafY",16814.79886
"234","yafZ",31050.95566
"235","ykfA",31891.36852
"236","perR",33638.38252
"237","insI1",44266.35584
"238","insH1",39326.72564
"239","mmuP",50525.20662
"240","mmuM",33422.43256
"241","afuC",39058.31802
"242","insB1",19757.60946
"243","insA",9870.23194
"244","yagA",43768.1451
"245","yagE",32529.99388
"246","yagF",69398.42896
"247","yagG",50631.24658
"248","yagH",60824.27986
"249","yagI",27837.59014
"250","argF",36826.74924
"251","insB1",19757.60946
"252","insA",9870.23194
"253","yagK",24470.6108
"254","yagL",27273.46826
"255","yagM",32678.141
"256","yagN",15814.86584
"257","intF",53073.44106
"258","paoD",34953.62636
"259","paoC",78087.44952
"260","paoB",33857.4524
"261","paoA",24342.40334
"262","yagU",22966.5149
"263","ykgJ",11798.41798
"264","ecpE",26627.97404
"265","ecpD",59996.41624
"266","ecpC",91227.38422
"267","ecpB",24516.68986
"268","ecpA",20111.21748
"269","ecpR",23241.41016
"270","ykgL",8766.79004
"271","ykgO",5466.55864
"272","ykgM",9920.06534
"273","ykgR",3998.73166
"274","insE1",11543.0057
"275","insF1",33540.04312
"276","rclC",21899.20364
"277","rclB",8471.69106
"278","rclA",48243.63996
"279","rclR",31474.00374
"280","ykgE",25971.97672
"281","ykgF",53051.32442
"282","ykgG",25212.42322
"283","ykgH",25588.57842
"284","betA",61858.8785
"285","betB",52910.52284
"286","betI",21814.7582
"287","betT",75841.26948
"288","yahA",40724.41966
"289","yahB",34865.59766
"290","yahC",17310.8571
"291","yahD",21686.81814
"292","yahE",32233.30334
"293","yahF",55580.09796
"294","yahG",50373.40974
"295","yahI",33930.45702
"296","yahJ",50548.17854
"297","yahK",37977.98732
"298","yahL",31792.34118
"299","yahM",8890.36804
"300","yahN",24811.03886
"301","yahO",9895.2751
"302","prpR",58648.71212
"303","prpB",32134.2941
"304","prpC",43101.67152
"305","prpD",53951.12518
"306","prpE",69350.1149
"307","codB",43617.01228
"308","codA",47558.34434
"309","cynR",32960.49974
"310","cynT",23731.93478
"311","cynS",17048.63018
"312","cynX",41360.2218
"313","lacA",22780.7061
"314","lacY",46502.70602
"315","lacZ",116481.49386
"316","lacI",38557.65748
"317","mhpR",31321.71804
"318","mhpA",62184.98956
"319","mhpB",34195.64152
"320","mhpC",31937.10538
"321","mhpD",28889.54634
"322","mhpF",33442.11076
"323","mhpE",36470.04564
"324","mhpT",41550.30222
"325","yaiL",19922.51206
"326","frmB",31424.11928
"327","frmA",39358.55966
"328","frmR",10317.61126
"329","yaiO",29039.97922
"330","insC1",13451.467
"331","insD1",34365.66852
"332","yaiP",44708.0042
"333","yaiS",20454.25196
"334","tauA",34265.66098
"335","tauB",28296.4036
"336","tauC",29811.5436
"337","tauD",32409.09086
"338","hemB",35624.42324
"339","insF1",33540.04312
"340","insE1",11543.0057
"341","yaiV",23955.36042
"342","ampH",41830.52506
"343","sbmA",46458.78222
"344","yaiW",40413.86446
"345","yaiY",11424.35924
"346","yaiZ",8097.3572
"347","ddlA",39315.33506
"348","iraP",9937.36628
"349","phoA",49405.93908
"350","psiF",11686.4262
"351","yaiC",41537.02576
"352","proC",28144.59292
"353","yaiI",16969.26838
"354","aroL",19150.6083
"355","yaiA",7281.11352
"356","aroM",24916.6193
"357","yaiE",10234.27876
"358","rdgC",33992.96706
"359","mak",32467.31342
"360","araJ",41925.88756
"361","sbcC",118719.67266
"362","sbcD",44712.97124
"363","phoB",26433.07862
"364","phoR",49596.73738
"365","brnQ",46208.168
"366","proY",50215.1443
"367","malZ",69040.1809
"368","acpH",22960.83464
"369","queA",39430.36542
"370","tgt",42593.20412
"371","yajC",11887.01022
"372","secD",66599.27986
"373","secF",35349.90972
"374","yajD",13363.851
"375","tsx",33588.59242
"376","yajI",19560.06202
"377","nrdR",17228.71792
"378","ribD",40305.79448
"379","ribE",16156.305
"380","nusB",15656.79326
"381","thiL",35070.44676
"382","pgpA",19417.90312
"383","yajO",36419.73014
"384","dxs",67616.16548
"385","ispA",32159.26578
"386","xseB",8951.82014
"387","thiI",54972.43082
"388","yajL",20776.84688
"389","panE",33870.37966
"390","yajQ",18343.63936
"391","yajR",48809.3835
"392","cyoE",32248.11646
"393","cyoD",12029.33934
"394","cyoC",22622.37502
"395","cyoB",74367.02992
"396","cyoA",34910.90238
"397","ampG",53244.54684
"398","yajG",20949.79162
"399","bolA",11993.53374
"400","tig",48192.08574
"401","clpP",23186.41306
"402","clpX",46355.45566
"403","lon",87437.14866
"404","hupB",9193.39848
"405","ppiD",68149.0453
"406","ybaV",12703.50752
"407","fadM",15088.12868
"408","queC",25513.897
"409","ybaE",64990.75302
"410","cof",30370.59962
"411","ybaO",17437.1817
"412","mdlA",65984.47006
"413","mdlB",65221.72836
"414","glnK",12259.05948
"415","amtB",44514.18154
"416","tesB",31965.92274
"417","ybaY",19430.95638
"418","ybaZ",14449.374
"419","ybaA",13318.10562
"420","ylaB",58687.60824
"421","ylaC",18266.95832
"422","maa",20095.76224
"423","hha",8627.90472
"424","tomB",14557.23028
"425","acrB",113572.32426
"426","acrA",42196.18036
"427","acrR",24766.37788
"428","mscK",127213.7434
"429","ybaM",6024.80478
"430","priC",20343.05698
"431","ybaN",14769.97236
"432","apt",19858.61842
"433","dnaX",71136.90256
"434","ybaB",12014.71572
"435","recR",21962.78634
"436","htpG",71421.64296
"437","adk",23585.73796
"438","hemH",35883.9697
"439","aes",36033.67674
"440","gsk",48448.22322
"441","ybaL",59422.82986
"442","fsr",43304.99332
"443","ushA",60823.24714
"444","ybaK",17092.71586
"445","ybaP",29902.14038
"446","ybaQ",13170.94366
"447","copA",87872.14228
"448","glsA",32902.94666
"449","ybaT",45658.10696
"450","cueR",15235.00136
"451","ybbJ",16938.62116
"452","qmcA",33742.71512
"453","fetA",25381.69992
"454","fetB",28164.46874
"455","ybbN",31790.67706
"456","ybbO",29409.84724
"457","tesA",23621.87488
"458","ybbA",24532.6517
"459","ybbP",89331.09926
"460","rhsD",159722.61562
"461","ybbC",14152.26226
"462","mnmH",41110.32164
"463","allS",34511.26228
"464","allA",18169.335
"465","allR",29269.3285
"466","gcl",64731.04746
"467","hyi",29377.11232
"468","glxR",30800.24106
"469","ybbW",52455.43872
"470","allB",49601.0709
"471","ybbY",47238.80368
"472","glxK",38734.0728
"473","allE",28730.08748
"474","allC",45693.49232
"475","allD",37966.69116
"476","fdrA",58595.40036
"477","ylbE",44978.40904
"478","ylbF",29596.75432
"479","ybcF",31643.75308
"480","purK",39460.64432
"481","purE",17780.1101
"482","lpxH",26861.80644
"483","ppiB",18153.26946
"484","cysS",52201.5252
"485","ybcI",19530.21172
"486","ybcJ",7389.45354
"487","folD",31043.37964
"488","sfmA",18474.2806
"489","sfmC",25457.33928
"490","sfmD",95675.81464
"491","sfmH",35677.3048
"492","sfmF",18222.43444
"493","sfmZ",23663.25416
"494","intD",45089.60694
"495","insE1",11543.0057
"496","insF1",33540.04312
"497","emrE",11958.23164
"498","ybcK",57526.21458
"499","ybcL",19475.72268
"500","ybcM",30840.35352
"501","ylcH",3644.16486
"502","ybcN",17400.7585
"503","ninE",6493.66444
"504","ybcO",10347.90358
"505","rusA",13813.6931
"506","ylcG",5493.43962
"507","quuD",14176.37836
"508","insH1",39326.72564
"509","essD",7777.96712
"510","rrrD",17971.6014
"511","rzpD",17193.42404
"512","rzoD",6690.1326
"513","borD",10447.1605
"514","ybcV",16413.52252
"515","ybcW",7623.65188
"516","ylcI",7520.42612
"517","nohD",20427.84392
"518","appY",28763.1616
"519","ompT",35561.8604
"520","envY",29018.55116
"521","ybcH",33056.3761
"522","nfrA",111306.80652
"523","nfrB",85286.29396
"524","cusS",53737.41406
"525","cusR",25394.22748
"526","cusC",50268.97734
"527","cusF",12251.02554
"528","cusB",44304.35632
"529","cusA",114705.76618
"530","pheP",50644.6404
"531","ybdG",46602.09078
"532","nfsB",23904.89932
"533","ybdF",14050.15044
"534","ybdJ",9403.406
"535","ybdK",41687.88162
"536","hokE",5563.67882
"537","insL1",40908.3311
"538","entD",23258.2863
"539","fepA",82105.88938
"540","fes",45619.318
"541","ybdZ",8271.14908
"542","entF",141989.24094
"543","fepE",42099.01684
"544","fepC",29783.76498
"545","fepG",34909.80392
"546","fepD",33870.90914
"547","entS",43281.45466
"548","fepB",34250.57048
"549","entC",42931.13324
"550","entE",59111.4425
"551","entB",32553.98502
"552","entA",26249.35798
"553","entH",14969.95944
"554","cstA",75104.38038
"555","ybdD",7467.40112
"556","ybdH",39091.1424
"557","ybdL",42962.4213
"558","ybdM",23943.08838
"559","ybdN",47826.17156
"560","ybdO",34396.40238
"561","dsbG",27494.67622
"562","ahpC",20761.18752
"563","ahpF",56176.43952
"564","uspG",15934.99258
"565","ybdR",44175.05578
"566","rnk",14926.90186
"567","rna",29617.25898
"568","citT",53091.93114
"569","citG",31644.09896
"570","citX",20270.12726
"571","citF",55172.08696
"572","citE",33109.26614
"573","citD",10689.16074
"574","citC",40076.74654
"575","citA",61683.35896
"576","citB",25453.03928
"577","dcuC",48411.6804
"578","pagP",21769.29668
"579","cspE",7463.35464
"580","flc",13745.07094
"581","tatE",7024.21018
"582","lipA",36071.34688
"583","ybeF",35927.87514
"584","lipB",23864.2266
"585","ybeD",9827.22722
"586","dacA",44443.44448
"587","rlpA",37527.55684
"588","mrdB",40475.51576
"589","mrdA",70855.72476
"590","rlmH",17308.83708
"591","rsfS",11564.06794
"592","cobC",23308.20412
"593","nadD",24527.64234
"594","holA",38703.22684
"595","lptE",21324.23258
"596","leuS",97232.67538
"597","ybeL",18796.98754
"598","ybeQ",37030.50558
"599","ybeR",27735.82202
"600","djlB",55255.68356
"601","ybeT",20914.58408
"602","ybeU",27022.13574
"603","djlC",55681.50554
"604","hscC",61985.54864
"605","rihA",33822.52566
"606","gltL",26660.80974
"607","gltK",24914.4255
"608","gltJ",27502.3683
"609","gltI",33419.7738
"610","insH1",39326.72564
"611","lnt",57065.1016
"612","ybeX",33298.11558
"613","ybeY",17525.46522
"614","ybeZ",39020.183
"615","miaB",53662.3455
"616","ubiF",42952.99764
"617","asnB",62658.28916
"618","umpH",27162.78454
"619","nagC",44540.71944
"620","nagA",40948.63242
"621","nagB",29773.87376
"622","nagE",68346.07846
"623","glnS",63477.15162
"624","chiP",52779.6691
"625","chiQ",11998.52762
"626","fur",16794.65828
"627","uof",3108.48892
"628","fldA",19736.70132
"629","ybfE",11279.85584
"630","ybfF",28436.91164
"631","seqA",20315.22268
"632","pgm",58360.25208
"633","ybfP",18281.75994
"634","potE",46494.35482
"635","speF",82414.84938
"636","ybfK",9498.95892
"637","kdpE",25329.76602
"638","kdpD",98717.18994
"639","kdpC",20266.89642
"640","kdpB",72198.33342
"641","kdpA",59188.42974
"642","kdpF",3039.64694
"643","ybfA",8274.51544
"644","rhsC",157774.44104
"645","ybfB",12557.22178
"646","ybfC",21961.16708
"647","ybfD",28864.66566
"648","ybgA",20210.92322
"649","phr",53666.26436
"650","dtpD",54158.34246
"651","ybgI",26892.15032
"652","ybgJ",23914.2404
"653","ybgK",34385.97294
"654","ybgL",25800.0708
"655","nei",29844.75274
"656","abrB",36883.30344
"657","ybgO",39538.17372
"658","ybgP",26953.76526
"659","ybgQ",90094.74922
"660","ybgD",19837.87712
"661","gltA",48014.47872
"662","sdhC",14298.98128
"663","sdhD",12867.37514
"664","sdhA",64421.13816
"665","sdhB",26769.61224
"666","sucA",105060.4934
"667","sucB",44010.87972
"668","sucC",41392.16024
"669","sucD",29777.13872
"670","mngR",28272.97942
"671","mngA",69667.08398
"672","mngB",100013.8415
"673","cydA",58204.39676
"674","cydB",42452.6318
"675","cydX",4041.64552
"676","ybgE",10932.251
"677","ybgC",15529.76934
"678","tolQ",25565.34938
"679","tolR",15382.74852
"680","tolA",43124.03816
"681","tolB",45954.96032
"682","pal",18823.99332
"683","ybgF",28231.06022
"684","nadA",38240.3945
"685","pnuC",26995.9353
"686","zitB",34678.0135
"687","ybgS",12871.85426
"688","aroG",38009.0962
"689","gpmA",28556.03112
"690","galM",38157.92362
"691","galK",41441.64742
"692","galT",39645.21148
"693","galE",37264.6704
"694","modF",54535.22692
"695","modE",28280.88292
"696","acrZ",5300.39128
"697","modA",27363.87054
"698","modB",24938.5149
"699","modC",39101.94438
"700","ybhA",30200.95816
"701","pgl",36307.20896
"702","ybhD",36057.61336
"703","ybhH",37059.0946
"704","ybhI",51350.08788
"705","ybhJ",81503.61084
"706","ybhC",46049.57154
"707","ybhB",17084.92084
"708","bioA",47335.12086
"709","bioB",38647.69328
"710","bioF",41593.7793
"711","bioC",28275.85666
"712","bioD",24107.23296
"713","uvrB",76225.14688
"714","ybhK",32787.53588
"715","moaA",37345.9934
"716","moaB",18664.87146
"717","moaC",17467.06396
"718","moaD",8757.82778
"719","moaE",16980.84138
"720","ybhL",25901.58028
"721","ybhM",26122.993
"722","ybhN",35859.95006
"723","clsB",47632.92048
"724","ybhP",28789.48058
"725","ybhQ",15464.51916
"726","ybhR",41565.326
"727","ybhS",42059.335
"728","ybhF",63131.79864
"729","ybhG",36383.3754
"730","ybiH",25016.40482
"731","rhlE",49988.70156
"732","ybiA",18669.0716
"733","dinG",81439.30596
"734","ybiB",35048.15858
"735","ybiC",38896.71118
"736","ybiJ",8567.64616
"737","ybiI",9755.70726
"738","ybiX",25528.45274
"739","fiu",81959.04976
"740","mcbA",8896.03676
"741","rlmF",34225.51854
"742","ybiO",81902.74964
"743","glnQ",26698.60928
"744","glnP",24363.998
"745","glnH",27189.7674
"746","dps",18695.07816
"747","rhtA",31168.09444
"748","ompX",18602.39078
"749","opgE",59705.47116
"750","mntS",5030.9817
"751","mntR",17640.0498
"752","ybiR",41168.2193
"753","ldtB",33324.8843
"754","ybiT",59825.22926
"755","ybiU",47328.88034
"756","ybiV",30412.46098
"757","ybiW",90124.29856
"758","ybiY",33037.78048
"759","fsaA",22996.55922
"760","moeB",26718.57266
"761","moeA",44066.75478
"762","iaaA",33393.63398
"763","gsiA",69095.16618
"764","gsiB",56469.51578
"765","gsiC",34066.02158
"766","gsiD",33237.85938
"767","yliE",90047.5989
"768","yliF",49872.39868
"769","rimO",49581.21872
"770","bssR",14535.5711
"771","yliI",41053.96976
"772","gstB",23712.89144
"773","dacC",43608.38252
"774","deoR",28547.66842
"775","ybjG",22398.38688
"776","mdfA",44320.4266
"777","ybjH",9970.53476
"778","ybjI",30195.8508
"779","ybjJ",41852.00306
"780","rcdA",20307.16216
"781","ybjL",60318.3563
"782","ybjM",14171.00528
"783","grxA",9684.73838
"784","ybjC",10520.58214
"785","nfsA",26800.36796
"786","rimK",32404.06658
"787","ybjN",17665.91462
"788","potF",40839.16616
"789","potG",41898.18092
"790","potH",35489.0923
"791","potI",30540.23328
"792","ybjO",18517.81494
"793","rlmC",41955.3291
"794","artJ",26829.15084
"795","artM",24913.47236
"796","artQ",26216.80804
"797","artI",26929.22382
"798","artP",27021.74484
"799","ybjP",18991.0973
"800","ybjQ",11436.82566
"801","amiD",31072.0535
"802","ybjS",38085.24742
"803","ybjT",53674.33862
"804","ltaE",36494.29882
"805","poxB",62010.70678
"806","hcr",35739.54644
"807","hcp",60063.1676
"808","ybjE",32339.68176
"809","aqpZ",23702.49256
"810","ybjD",63588.4513
"811","ybjX",38357.14324
"812","macA",40623.42558
"813","macB",70701.6498
"814","cspD",7968.8821
"815","clpS",12178.928
"816","clpA",84205.90618
"817","infA",8249.48694
"818","aat",26618.21356
"819","cydC",62919.39262
"820","cydD",65055.3811
"821","trxB",34622.64096
"822","lrp",18886.55798
"823","ftsK",146642.86868
"824","lolA",22496.77504
"825","rarA",49593.44226
"826","serS",48413.48136
"827","dmsA",90397.61738
"828","dmsB",22868.7398
"829","dmsC",30825.88852
"830","ycaC",23100.02548
"831","ycaD",41431.1031
"832","ycaM",52495.88672
"833","ycaN",34294.0034
"834","ycaK",23035.88984
"835","pflA",28203.99296
"836","pflB",85356.25234
"837","focA",30958.33702
"838","ycaO",65650.77968
"839","ycaP",26281.71438
"840","serC",39782.84838
"841","aroA",46095.26908
"842","ycaL",26739.81016
"843","cmk",24746.03912
"844","rpsA",61157.30452
"845","ihfB",10651.01802
"846","ycaI",84473.02482
"847","msbA",64459.98916
"848","lpxK",35588.8642
"849","ycaQ",47655.31506
"850","ycaR",6854.90462
"851","kdsB",27614.11762
"852","ycbJ",34487.27664
"853","elyC",28665.9799
"854","smtA",29813.91766
"855","mukF",50578.28806
"856","mukE",26974.18824
"857","mukB",170228.1768
"858","ldtD",67811.6928
"859","ycbK",20354.12236
"860","ycbL",23783.77058
"861","aspC",43572.84332
"862","ompF",39332.80546
"863","asnS",52569.80076
"864","pncB",45896.72884
"865","pepN",98917.7572
"866","ssuB",27737.77254
"867","ssuC",28925.0867
"868","ssuD",41735.73612
"869","ssuA",34557.2996
"870","ssuE",21253.04786
"871","elfA",18679.66648
"872","elfD",25388.23614
"873","elfC",95240.7803
"874","elfG",37850.28642
"875","ycbU",18913.33494
"876","ycbV",18511.75428
"877","ycbF",25852.53766
"878","pyrD",36774.08108
"879","zapC",20588.56216
"880","ycbX",40611.88442
"881","rlmL",78853.17714
"882","uup",72066.01688
"883","pqiA",46463.0347
"884","pqiB",60519.7398
"885","pqiC",20634.14422
"886","rmf",6507.42102
"887","fabA",18968.84164
"888","ycbZ",65799.83678
"889","matP",17693.15204
"890","ompA",37200.3056
"891","sulA",18801.17008
"892","sxy",24146.73432
"893","yccS",81666.59408
"894","yccF",16275.1622
"895","helD",77975.25248
"896","mgsA",16918.38354
"897","yccT",24593.8306
"898","yccU",14700.95582
"899","hspQ",11779.06386
"900","rlmI",44356.40866
"901","yccX",10299.6386
"902","tusE",12410.20336
"903","yccA",23362.54744
"904","hyaA",40680.9445
"905","hyaB",66252.62358
"906","hyaC",27596.99778
"907","hyaD",21546.1725
"908","hyaE",14889.61282
"909","hyaF",31430.35688
"910","cbdA",57919.17594
"911","cbdB",42423.35072
"912","cbdX",3597.44434
"913","appA",47056.27848
"914","etk",81240.69056
"915","etp",16385.76786
"916","gfcE",41740.26394
"917","gfcD",78686.198
"918","gfcC",27295.7848
"919","gfcB",24235.23288
"920","gfcA",9507.39682
"921","insA",9870.23194
"922","insB1",19699.56348
"923","cspH",7701.88942
"924","cspG",7780.63318
"925","ymcE",8727.08184
"926","gnsA",6543.4768
"927","yccM",40096.58728
"928","torS",100991.07242
"929","torT",37864.22714
"930","torR",26232.89064
"931","torC",43606.0753
"932","torA",94454.81526
"933","torD",22573.46554
"934","cbpM",11512.09564
"935","cbpA",34454.56802
"936","yccE",48354.82196
"937","agp",45682.39048
"938","yccJ",8524.38914
"939","wrbA",20845.31244
"940","ymdF",5883.15486
"941","rutG",45556.88232
"942","rutF",17749.10564
"943","rutE",21570.131
"944","rutD",28897.78796
"945","rutC",13762.69428
"946","rutB",25208.36048
"947","rutA",42218.45196
"948","rutR",23687.3363
"949","putA",143813.45106
"950","putP",54343.528
"951","efeO",41137.1296
"952","efeB",46753.6398
"953","phoH",39264.44672
"954","pgaD",16081.54876
"955","pgaC",50765.23064
"956","pgaB",77411.81454
"957","pgaA",92205.99482
"958","ycdT",51781.92392
"959","insF1",33540.04312
"960","insE1",11543.0057
"961","ycdU",38668.00754
"962","ghrA",35342.98852
"963","ycdX",26890.20708
"964","ycdY",20724.116
"965","ycdZ",17074.22512
"966","csgG",30556.78388
"967","csgF",15055.61822
"968","csgE",14878.6082
"969","csgD",24935.16486
"970","csgB",15881.68198
"971","csgA",15048.97464
"972","csgC",11966.50918
"973","ymdA",11193.88364
"974","ymdB",18880.15904
"975","clsC",53647.24252
"976","opgC",44689.82916
"977","opgG",57911.76824
"978","opgH",96936.25102
"979","yceK",8442.70236
"980","msyB",14259.03746
"981","mdtG",43866.7569
"982","lpxL",35406.45352
"983","yceA",39780.9002
"984","yceI",20912.19806
"985","yceJ",20736.15278
"986","yceO",5897.14
"987","solA",40901.50114
"988","bssS",9663.65472
"989","dinI",8948.86564
"990","pyrC",38826.948
"991","yceB",20499.5047
"992","grxB",24317.85854
"993","mdtH",44362.72424
"994","rimJ",22687.57374
"995","yceH",24177.06006
"996","yceM",33649.07074
"997","murJ",55266.8021
"998","flgN",15866.74014
"999","flgM",10340.47776
"1000","flgA",23518.7911
"1001","flgB",15240.00974
"1002","flgC",13967.78068
"1003","flgD",23574.72058
"1004","flgE",42044.69542
"1005","flgF",25911.85692
"1006","flgG",27743.56318
"1007","flgH",24615.17334
"1008","flgI",38136.9634
"1009","flgJ",34474.77202
"1010","flgK",57929.17138
"1011","flgL",34280.66454
"1012","rne",118195.27542
"1013","yceQ",12067.80412
"1014","rluC",36026.12948
"1015","yceF",21690.54646
"1016","yceD",19314.70338
"1017","rpmF",6446.31004
"1018","plsX",38195.946
"1019","fabH",33514.7456
"1020","fabD",32416.85136
"1021","fabG",25560.0176
"1022","acpP",8639.41742
"1023","fabF",43013.2243
"1024","pabC",29714.75406
"1025","yceG",38246.937
"1026","tmk",23782.8513
"1027","holB",36936.1329
"1028","ycfH",29808.42468
"1029","ptsG",50675.93456
"1030","fhuE",81231.67472
"1031","hinT",13209.06114
"1032","ycfL",13980.93778
"1033","lpoB",22515.40018
"1034","thiK",32364.82622
"1035","nagZ",37562.25612
"1036","ycfP",21225.9312
"1037","ndh",47340.10038
"1038","ycfJ",18888.14678
"1039","ycfQ",23361.47444
"1040","bhsA",8814.94244
"1041","ldtC",34603.44904
"1042","mfd",129981.1787
"1043","ycfT",40833.15288
"1044","lolC",43263.2789
"1045","lolD",25437.99206
"1046","lolE",45343.67288
"1047","nagK",33042.30148
"1048","cobB",26716.0757
"1049","ycfZ",28864.5021
"1050","ymfA",17415.74444
